"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.82458316160984e-20,0.502094908466551,0.274,0.214,2.32444891981944e-15,"3","FUCA2"
8.92143447568484e-20,0.541090729494105,0.346,0.285,2.65029053969169e-15,"3","OAZ2"
9.78442432140667e-20,0.33655621241764,0.425,0.357,2.90665893316028e-15,"3","TMEM106B"
1.34496950654255e-19,0.369697973732039,0.441,0.371,3.99550091308595e-15,"3","LYRM2"
1.53109500028178e-19,0.438636046029966,0.258,0.192,4.54842391733707e-15,"3","AC025164.1"
1.73403072315149e-19,0.458220540651418,0.394,0.326,5.15128506926613e-15,"3","CHCHD1"
1.81905841694314e-19,0.355742943660799,0.336,0.264,5.40387683921298e-15,"3","H2AFX"
2.05436329047369e-19,0.377453111239387,0.392,0.321,6.10289702701018e-15,"3","CLTB"
2.09515902154324e-19,0.424876530281342,0.419,0.352,6.22408890529852e-15,"3","ACP1"
2.4831173349163e-19,0.534172003045995,0.349,0.29,7.37659666683585e-15,"3","GPS1"
2.59474263575151e-19,0.546446681695401,0.394,0.333,7.70820194802702e-15,"3","TROVE2"
2.71619528644079e-19,0.500413416701931,0.344,0.28,8.06900133742965e-15,"3","DPM2"
3.42437810662355e-19,0.449083069462568,0.426,0.359,1.01728000413466e-14,"3","CORO1B"
3.97944415100987e-19,0.313537337425676,0.427,0.355,1.1821734739405e-14,"3","KRTCAP2"
4.48642576187478e-19,0.498982358078855,0.284,0.224,1.33278250108014e-14,"3","LZIC"
4.55416737948082e-19,0.31860353926189,0.452,0.373,1.35290650342237e-14,"3","COX14"
5.94034815451845e-19,0.512017195136416,0.366,0.302,1.7646992262628e-14,"3","CCDC124"
7.75808028605422e-19,0.263486539288971,0.525,0.446,2.30469291057813e-14,"3","HSPA9"
8.56263545287658e-19,0.254795341720758,0.544,0.448,2.54370211398604e-14,"3","RAD23A"
9.61076190085203e-19,0.591263729403035,0.314,0.257,2.85506903788611e-14,"3","BOD1"
1.26307850974092e-18,0.283591708913769,0.408,0.34,3.75222732888736e-14,"3","RABL6"
1.29420696009896e-18,0.284956789963026,0.476,0.394,3.84470061636598e-14,"3","COA4"
1.35898481728906e-18,0.501913585997141,0.293,0.234,4.03713619672062e-14,"3","TSPAN31"
1.84316404691497e-18,0.271047652506123,0.499,0.409,5.47548743417029e-14,"3","HIGD2A"
1.9056946662366e-18,0.48048667408638,0.263,0.205,5.66124714498906e-14,"3","NUDT21"
1.95114435461842e-18,0.263402944655867,0.462,0.38,5.79626453426493e-14,"3","FAM162A"
2.75231112385264e-18,0.253768825299307,0.569,0.455,8.17629065562903e-14,"3","FKBP2"
3.2561886642597e-18,0.484613514586542,0.354,0.295,9.67315966491628e-14,"3","PDZD11"
3.91047742063828e-18,0.252241766852341,0.501,0.421,1.16168552734901e-13,"3","PSMD4"
4.98964953478983e-18,0.303077433556893,0.481,0.408,1.48227518730001e-13,"3","ISCU"
