"Pseudotime","Group"
0.936335937069935,"AM"
0.333340025499857,"AM"
0.918936264738517,"AM"
0.312892408643135,"CM"
0.280479169509643,"AM"
0.239718808080288,"AM"
0.323833401478469,"AM"
0.258860538781868,"CM"
0.339379818454048,"AM"
0.412505073748958,"AM"
1.47930948383941,"AM"
0.255743058734498,"AM"
0.322367467356358,"AM"
0.327214426016033,"AM"
0.249660973695289,"CM"
0.306725211392082,"CM"
0.335502433927205,"CM"
0.294838273952673,"CM"
0.332614525698294,"AM"
0.441859994622661,"AM"
0.264081427905411,"CM"
0.326982489338242,"CM"
0.29256103969424,"CM"
0.212344770149252,"AM"
0.287346434677349,"CM"
0.240681169684047,"AM"
0.959368465185065,"AM"
2.33088815449466,"AM"
1.48946047686827,"AM"
0.239350668034404,"AM"
0.473728949481141,"CM"
0.216228844507218,"CM"
0.500494845896276,"AM"
3.09964720144532,"AM"
0.277150274295812,"CM"
0.205078026773674,"CM"
3.10884981076711,"AM"
0.289783422990851,"AM"
0.295791545547228,"AM"
0.312920002605301,"CM"
0.220499118678045,"AM"
0.26371361826791,"AM"
0.32120564918865,"AM"
0.306284199799674,"AM"
0.299257243965137,"CM"
3.08613535228326,"AM"
0.320717357880782,"CM"
0.347171614921225,"AM"
0.821512899697851,"AM"
0.303972045317166,"AM"
0.291709588290765,"AM"
0.321838935004594,"CM"
1.51651883767127,"CM"
0.799651384081449,"AM"
0.224493116681979,"AM"
0.19690297681555,"AM"
0.303730959849038,"AM"
0.288841717563384,"AM"
0.307733728164339,"AM"
0.298702916665372,"AM"
0.277449446680703,"AM"
0.255655500364123,"AM"
0.476789359179639,"CM"
0.247660786726928,"CM"
0.168749725719725,"AM"
0.231106405185078,"AM"
0.183214884345825,"AM"
2.39284360047832,"AM"
1.33347328229851,"AM"
0.265332287311036,"CM"
0.226885102693912,"AM"
0.311352749905002,"AM"
0.247124500586317,"AM"
0.275200089712698,"AM"
0.683089715447244,"AM"
0.271644999706438,"AM"
0.187441416280272,"AM"
2.8725312753788,"AM"
1.36404762200717,"CM"
3.02788961236281,"AM"
0.231098841282955,"AM"
1.03967648606951,"AM"
0.373058739536569,"AM"
1.41969589736617,"AM"
0.243271136984265,"CM"
0.661077968185041,"AM"
0.328034281059887,"AM"
1.21027391676925,"AM"
0.354347116050797,"AM"
0.291473900679906,"AM"
0.336082896959621,"AM"
0.663088925600182,"AM"
0.283979046973768,"CM"
0.394453072000548,"AM"
0.432031004266783,"AM"
0.324153912742841,"AM"
0.259844959853899,"AM"
0.23550967876469,"AM"
0.370883534208003,"CM"
0.32642126920692,"AM"
0.147935053262307,"AM"
0.227555795654729,"AM"
0.553757628585025,"AM"
0.29066835702073,"AM"
0.22146258347383,"AM"
0.273362746272883,"AM"
0.337582017166898,"AM"
0.401334427749833,"CM"
0.324659575140788,"AM"
0.212380444255053,"AM"
0.859929968752749,"AM"
0.336515297542813,"AM"
0.961380297052404,"AM"
0.279306222831336,"CM"
1.92346312423855,"AM"
0.311843058858655,"AM"
0.309454827926691,"AM"
3.1082770760431,"AM"
0.182836257145563,"AM"
0.250605705766485,"AM"
0.242416977196589,"CM"
0.21037866401847,"AM"
0.315146903370185,"AM"
0.63116829216193,"CM"
0.27810047240113,"CM"
0.576743984601426,"AM"
0.256087929830002,"AM"
