"group","Signature","Score","p","p_adj"
"CM","Exhausted",-0.201541309788432,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.396590639155715,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.288405919581547,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.173602137720101,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.205264071755509,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.000144179946506007,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.211555026744513,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.280376173854432,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.247737797222899,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.386419327452624,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.165641101967682,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.301976047617848,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.246914168020833,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.37542517423426,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.225172150767511,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.341920741847315,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.253321791839904,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.429628083589316,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.0133298127141288,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.340349765604341,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.182519361608189,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.331488228152274,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.311788799974744,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.245189138286443,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.179682532881517,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.263085990040061,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.232212132247158,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.258650992551162,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.247427542001958,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.430165464516361,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.125968141928865,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.35165482855971,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.192594148220895,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",0.403019355490965,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.292116673469345,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.259512905331519,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.222590341301751,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.319673963255988,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.148739074348355,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.274081080870904,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.20409813057718,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.374515269720934,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.152917699869856,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.273042141703243,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.175951383868222,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.342243059942163,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.699078051254409,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.416871889305349,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.269849884973094,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.411879622723936,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.329537870389278,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.366267522129861,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.182120646288988,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.407833755041647,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.270481879243235,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.31922421012868,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.197576418020336,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.360190072271247,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.152852490546529,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.307099002990584,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.29455206940626,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.408753965069819,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.100547062011736,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.35452192566785,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.236643121813484,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.485187743937634,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.349798930637387,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.197259874013881,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.168227440242907,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.387107226751361,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.150925583329949,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.302116170107361,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.239165754240358,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.374140782289258,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.291037941087747,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.281889534077218,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.295741067144475,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.536900731068801,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.297843655035757,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.426803631124299,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.305733609619751,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.551200809618867,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.314756142354364,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.111107109785448,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.195676024380508,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.317361110733788,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.197433016282962,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.303304293203832,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.208609440090015,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",0.102115084827878,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.107749727982517,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.292689256707839,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.170977415459736,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.296176790952491,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.250310198197805,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.290286199192773,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.166561564898966,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.125031105586706,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.0317101356529323,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.378227993833426,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.237044240555096,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.140091198253804,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.0181693724839035,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.0708093823562488,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.355514382005714,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.563430674951382,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.179314949380884,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.443800077329023,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.186734584172237,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.0421133771522721,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.175823480317798,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.27923610999986,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.281027314712687,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.380262590378989,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.29309490065142,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.298801853804359,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",0.905671738420812,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.322613198085738,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",0.257095178302351,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.26362253675053,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.325342801380822,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.286114238510494,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.345574303016867,9.98155367909283e-118,"1.33e-117"
"CM","Resident",0.116747293228044,9.86706930318095e-295,"3.95e-294"
"CM","Exhausted",-0.19286938481577,2.24076000414201e-06,"2.24e-06"
"CM","Cytotoxicity",-0.295301361210158,5.22838294834446e-197,"1.05e-196"
"CM","Co-stimulatory",-0.190356339820803,9.98155367909283e-118,"1.33e-117"
"CM","Resident",-0.243345076030642,9.86706930318095e-295,"3.95e-294"
