"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.23766912974998e-25,1.00665534866814,0.416,0.241,9.61814368374826e-21,"10","TNIK"
1.25101710929728e-24,1.08127169457279,0.358,0.192,3.71639652658943e-20,"10","KDM6A"
1.9960904703714e-24,1.37559769659916,0.256,0.119,5.92978596033233e-20,"10","CCNY"
2.28679318869469e-24,1.58710864171344,0.257,0.125,6.79337652565531e-20,"10","PTK2B"
3.50043394294119e-24,0.864680506767686,0.471,0.282,1.03987391142954e-19,"10","CASK"
4.22055703244801e-24,0.844833534985511,0.416,0.231,1.25380087762933e-19,"10","ARL15"
4.76070416536419e-24,1.3122553663132,0.257,0.119,1.41426238640474e-19,"10","XKR6"
4.98926561677392e-24,1.22618255794388,0.402,0.253,1.48216113677503e-19,"10","AC245297.3"
5.44839762512271e-24,1.20080191499432,0.34,0.186,1.6185554824952e-19,"10","FBXO11"
6.08464579997431e-24,1.24881813505109,0.312,0.164,1.80756572779837e-19,"10","AP3B1"
7.7555678041935e-24,1.24871319969853,0.279,0.136,2.30394652759176e-19,"10","ANKIB1"
9.73444410280764e-24,1.34915421389592,0.272,0.133,2.89181130962107e-19,"10","PPP2R2B"
1.09702123987601e-23,1.28855259426384,0.289,0.146,3.25892099729965e-19,"10","CREBBP"
1.23571189649198e-23,1.06200682042656,0.362,0.202,3.67092933090872e-19,"10","COP1"
1.5271326815036e-23,1.47827705833294,0.252,0.12,4.53665305694274e-19,"10","GATAD2A"
5.61180712164758e-23,1.1782257635584,0.344,0.195,1.66709954162785e-18,"10","TENT2"
5.80566311048803e-23,1.06914849578136,0.36,0.204,1.72468834023268e-18,"10","R3HDM2"
7.56869779745248e-23,0.99701498209279,0.406,0.247,2.24843305468921e-18,"10","RBM6"
9.28217971768486e-23,1.15208155865521,0.365,0.213,2.75745712873264e-18,"10","KLRD1"
1.15719670012885e-22,1.18145106788058,0.309,0.162,3.43768423707279e-18,"10","NSMCE2"
1.46161238697495e-22,1.53303735917748,0.254,0.126,4.34201191798649e-18,"10","ELF2"
1.51232365407446e-22,1.2429292458257,0.296,0.154,4.492659879159e-18,"10","MON2"
1.69176223422847e-22,1.06632742725872,0.307,0.157,5.02571806922252e-18,"10","SEPTIN6"
1.92779461829825e-22,0.971165626026118,0.49,0.35,5.7268994725786e-18,"10","IKZF1"
2.0394441483528e-22,1.13532754944139,0.282,0.14,6.05857673151165e-18,"10","RAPGEF1"
2.12916131685982e-22,1.4358444675822,0.254,0.125,6.32509952399547e-18,"10","SNX14"
3.50873311740645e-22,1.30936525521554,0.312,0.173,1.04233934718793e-17,"10","USP47"
6.77346555984846e-22,1.19899106742165,0.321,0.177,2.01219341386418e-17,"10","PTPRA"
1.05734704869592e-21,1.03466576699755,0.379,0.228,3.14106087756097e-17,"10","CDK13"
1.18618344589214e-21,1.43515603078231,0.263,0.134,3.52379516271177e-17,"10","SORL1"
3.28024726281074e-21,1.37443773402603,0.265,0.136,9.74463054363186e-17,"10","TRIM33"
3.47939762539948e-21,0.752059336561138,0.429,0.253,1.03362465257742e-16,"10","TOX"
3.71412300743231e-21,1.10548200359243,0.351,0.205,1.10335452181792e-16,"10","PPP6R3"
5.92114982176613e-21,1.22236087320039,0.277,0.144,1.75899597755206e-16,"10","LCOR"
7.16056014665014e-21,1.23245554480157,0.351,0.214,2.12718760276536e-16,"10","LYST"
7.60676773087774e-21,1.04319896657811,0.347,0.2,2.25974248981185e-16,"10","RICTOR"
7.72127966882599e-21,1.15401396917945,0.302,0.162,2.29376055121814e-16,"10","DYM"
1.26468426980526e-20,1.1859405077583,0.277,0.142,3.75699756031049e-16,"10","AFF1"
1.38564644321124e-20,0.928520995295533,0.466,0.308,4.11633988884762e-16,"10","ASH1L"
1.45475281747001e-20,0.786310490768402,0.443,0.272,4.32163419485817e-16,"10","ELMO1"
3.05541655226601e-20,1.19420544646034,0.314,0.178,9.07672595181663e-16,"10","DENND1B"
3.55851030774411e-20,1.23998269936366,0.314,0.178,1.05712665712154e-15,"10","ZNF644"
3.74645257077336e-20,1.22501923708039,0.307,0.171,1.11295866519964e-15,"10","HELZ"
6.92907664328458e-20,1.03096082798212,0.356,0.212,2.05842079842055e-15,"10","NEK7"
1.07413687758049e-19,1.20168713252745,0.298,0.165,3.19093842222836e-15,"10","ATP11B"
1.24864586975007e-19,0.910745568367774,0.473,0.339,3.70935228526653e-15,"10","SP100"
2.69719530740893e-19,0.798514345826361,0.354,0.202,8.0125580997197e-15,"10","DLEU2"
2.83763833779497e-19,1.07531457507288,0.34,0.199,8.42977221008751e-15,"10","GLCCI1"
3.17997302717547e-19,1.00413270317874,0.455,0.327,9.44674587183018e-15,"10","CD96"
3.40786645725642e-19,1.11490043941292,0.305,0.171,1.01237488845717e-14,"10","PUM1"
3.54702118324155e-19,1.20415343731043,0.277,0.149,1.05371358290557e-14,"10","RAP1GDS1"
4.6611794015952e-19,1.07671527798674,0.339,0.202,1.38469656483189e-14,"10","OSBPL8"
5.76625282516744e-19,0.966655622497916,0.333,0.188,1.71298072677249e-14,"10","XIST"
6.11763461336964e-19,1.15712322972115,0.256,0.132,1.81736571459372e-14,"10","KAT2B"
8.39772031499198e-19,1.03577586058532,0.326,0.189,2.49471077397467e-14,"10","GSK3B"
1.57612110829668e-18,1.12382580550561,0.265,0.14,4.68218297641695e-14,"10","WDR70"
2.30505248742233e-18,1.0534413189842,0.33,0.196,6.8476194243855e-14,"10","ZNF148"
2.71652703755952e-18,1.06418703420694,0.328,0.191,8.06998687047806e-14,"10","ITPR2"
3.57637574539165e-18,1.15593956215202,0.332,0.203,1.0624339426835e-13,"10","GPATCH8"
3.99931707488828e-18,1.02597337797261,0.383,0.25,1.18807712343706e-13,"10","BPTF"
6.07768270849763e-18,1.02706894958872,0.349,0.214,1.80549720221339e-13,"10","TTC17"
6.27775334679719e-18,0.989488683312161,0.351,0.216,1.86493218673304e-13,"10","VPS13C"
6.72535616676968e-18,0.839217811427089,0.451,0.321,1.99790155646227e-13,"10","DDX17"
7.6050245678256e-18,0.997144822781866,0.383,0.247,2.25922464836395e-13,"10","PRKCB"
9.77676932707062e-18,0.933562630856019,0.303,0.171,2.90438486399287e-13,"10","PPP1R16B"
9.98287512691453e-18,1.11966351315286,0.31,0.181,2.9656127139525e-13,"10","TUT4"
1.01789671638642e-17,0.831798854530059,0.346,0.203,3.02386577536914e-13,"10","RAPGEF6"
1.03778853367914e-17,1.2429955048842,0.256,0.137,3.08295839700063e-13,"10","ZNF652"
1.3666897850098e-17,0.956336121924015,0.293,0.162,4.06002534432861e-13,"10","FNDC3A"
1.62119376234853e-17,1.15269387072585,0.28,0.158,4.81608030980877e-13,"10","LNPEP"
1.75465819370546e-17,1.26914577721909,0.272,0.156,5.2125630960408e-13,"10","SEMA4D"
1.82175112863381e-17,1.06008601388551,0.289,0.163,5.41187607783247e-13,"10","TNRC6C"
1.98854982389681e-17,0.88577375286836,0.369,0.224,5.90738496185024e-13,"10","ZEB1"
2.32639655775323e-17,1.06486763044386,0.309,0.181,6.91102625411753e-13,"10","XRN1"
2.49645400165705e-17,1.05942794512827,0.335,0.206,7.4162159027226e-13,"10","GNB1"
3.0648437490115e-17,1.02251971619648,0.302,0.176,9.10473132518846e-13,"10","ARFGEF1"
3.35238039763309e-17,1.10294619869351,0.273,0.15,9.95891644724863e-13,"10","TMEM131L"
3.38542620807939e-17,0.98875755570286,0.333,0.2,1.00570856363414e-12,"10","FBXW7"
3.49172570348887e-17,1.01870762404648,0.317,0.188,1.03728695473544e-12,"10","ACAP2"
4.91364116635026e-17,1.06158853539676,0.319,0.192,1.45969538128767e-12,"10","ZNF638"
5.96556564025756e-17,1.0413452695545,0.314,0.187,1.77219058475131e-12,"10","OGT"
6.38644660468102e-17,1.16854060492645,0.287,0.168,1.89722169285259e-12,"10","BABAM2"
7.59982383700059e-17,0.993410859171841,0.384,0.248,2.25767966725776e-12,"10","BCL2"
8.99057733238579e-17,0.928968163232333,0.287,0.161,2.67083080813185e-12,"10","UBR2"
9.28114769713774e-17,0.615194115077694,0.545,0.407,2.75715054638871e-12,"10","FOXP1"
1.18344284563063e-16,1.20979502071855,0.291,0.174,3.51565366151492e-12,"10","RAB8B"
1.34345280245614e-16,1.15047272609759,0.275,0.157,3.99099524025645e-12,"10","PPP2R5E"
1.47069252286474e-16,0.885962133205352,0.423,0.29,4.36898627767428e-12,"10","JMJD1C"
1.6733776992791e-16,1.1460577774986,0.252,0.136,4.97110313124841e-12,"10","ASAP1"
1.91487275031661e-16,1.12502748801668,0.282,0.165,5.68851247936554e-12,"10","BRWD1"
1.92912034511023e-16,0.966755135403142,0.3,0.172,5.73083780921895e-12,"10","USP25"
1.94666528049233e-16,0.96775404243969,0.261,0.14,5.78295854875858e-12,"10","SMG6"
1.9817037734985e-16,1.19973732769452,0.263,0.147,5.887047399932e-12,"10","SND1"
2.02346249538015e-16,1.21230225614198,0.273,0.157,6.01110003502581e-12,"10","PPP3R1"
2.11160811260542e-16,1.07236352552521,0.302,0.179,6.27295422011692e-12,"10","CUL3"
4.2875759393364e-16,0.889884800897376,0.351,0.215,1.27371018429866e-11,"10","PTPRJ"
4.53705416763222e-16,0.981633691734952,0.27,0.15,1.3478226815785e-11,"10","ERC1"
4.81016466388128e-16,1.03059754753587,0.254,0.137,1.42895561669921e-11,"10","PIBF1"
8.48733080772998e-16,1.01432011395007,0.303,0.183,2.52133136305234e-11,"10","DIAPH1"
8.86824539013665e-16,0.933278952526397,0.326,0.197,2.63448965804789e-11,"10","PRKCQ"
1.05063067093161e-15,1.03905821547734,0.39,0.279,3.12110853413653e-11,"10","PPP1R12A"
1.21745755839015e-15,1.10304317795278,0.31,0.193,3.61670116870961e-11,"10","KDM2A"
3.07833834701043e-15,0.905599934474481,0.414,0.295,9.14481972746389e-11,"10","USP15"
4.44342182789159e-15,0.96721584183045,0.302,0.182,1.32000732241176e-10,"10","SETD2"
5.38073905119524e-15,0.966493227559434,0.302,0.183,1.59845614993857e-10,"10","GATAD2B"
5.48254281043549e-15,0.861891847708687,0.365,0.24,1.62869899269607e-10,"10","TBL1XR1"
8.24164269175992e-15,0.765591345203113,0.326,0.197,2.44834479444112e-10,"10","COG5"
9.204901753755e-15,0.761160937155298,0.349,0.217,2.734500163988e-10,"10","PACS1"
1.07882651930306e-14,1.03288332967329,0.272,0.16,3.20486994089361e-10,"10","SMG1"
1.26250426536306e-14,0.931198269085759,0.3,0.183,3.75052142111403e-10,"10","MKLN1"
2.21041425435857e-14,0.958796406701174,0.286,0.173,6.56647762542301e-10,"10","PDS5A"
2.44032337341899e-14,0.948085594294481,0.259,0.149,7.24946864541579e-10,"10","PPP6R2"
2.93273072589833e-14,0.968188573293948,0.326,0.211,8.71226316742617e-10,"10","BRAF"
3.18348733468914e-14,0.717305085854102,0.489,0.387,9.45718582516103e-10,"10","FNBP1"
5.3844275237048e-14,1.09436506277194,0.31,0.204,1.59955188446699e-09,"10","UBAC2"
7.44764575512246e-14,0.952189484699966,0.27,0.159,2.21247212447423e-09,"10","MAP4"
8.11806457797293e-14,0.925157411376638,0.277,0.166,2.41163344417842e-09,"10","PRRC2B"
1.1097617658265e-13,0.824685772133072,0.257,0.146,3.29676927774079e-09,"10","ZNF407"
1.27374269656378e-13,0.941390281034205,0.252,0.146,3.78390742868203e-09,"10","ST6GAL1"
1.81818780493455e-13,1.01580288359097,0.25,0.145,5.40129051211907e-09,"10","TNKS"
1.83366431346005e-13,1.20562753133912,0.296,0.198,5.44726657599578e-09,"10","PRMT2"
1.90105695701995e-13,0.791207427663728,0.349,0.231,5.64746990221917e-09,"10","HERC4"
3.69725031172627e-13,0.928480848663094,0.325,0.213,1.09834215010452e-08,"10","CCM2"
3.87220592676499e-13,1.0927255175481,0.256,0.155,1.15031621466408e-08,"10","SETD5"
4.07652809993704e-13,0.877705769829727,0.3,0.189,1.2110142026483e-08,"10","NFAT5"
4.92881902102792e-13,0.810772638162905,0.351,0.233,1.46420426657676e-08,"10","HERC1"
5.85632530692862e-13,1.04795101112408,0.263,0.16,1.73973855892929e-08,"10","NSD1"
8.89849005021007e-13,1.35395026549111,0.317,0.229,2.6434744392159e-08,"10","RUNX3"
1.20705212713895e-12,0.902238380253512,0.282,0.174,3.58578975409167e-08,"10","CAMK2D"
1.24545190788053e-12,0.902790383691787,0.402,0.312,3.69986398274068e-08,"10","JAK1"
1.34979369951201e-12,0.553835195525441,0.407,0.273,4.00983214314032e-08,"10","PCNX1"
1.43127998533686e-12,0.800407159282817,0.289,0.176,4.25190345244022e-08,"10","CAMK1D"
1.54503112159387e-12,0.864763249411214,0.273,0.163,4.5898239529189e-08,"10","CAMKMT"
1.7168385140353e-12,0.770698982474768,0.337,0.222,5.10021217364466e-08,"10","NLRC5"
1.95311659607626e-12,1.01796302321676,0.275,0.173,5.80212347196376e-08,"10","SMARCA2"
2.26152109686399e-12,0.931977936808589,0.284,0.179,6.71830072245387e-08,"10","ARID2"
2.40501316086151e-12,0.826107830644014,0.316,0.207,7.14457259697129e-08,"10","ZMYM2"
3.54130061011369e-12,0.869605846411753,0.295,0.186,1.05201417224647e-07,"10","SLFN12L"
4.15647309863373e-12,0.978256266254071,0.257,0.159,1.23476346341112e-07,"10","SETX"
4.86706179298516e-12,0.905402364359869,0.353,0.25,1.4458580468421e-07,"10","CYTH1"
6.47894034668026e-12,0.987608619387264,0.252,0.156,1.9246988087883e-07,"10","STIM2"
7.12348975174623e-12,0.970148893123516,0.25,0.153,2.11617510055125e-07,"10","MED13"
