"","MHC class II protein complex assembly","peptide antigen assembly with MHC class II protein complex","MHC protein complex assembly","peptide antigen assembly with MHC protein complex","CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","mitotic spindle midzone assembly","mitotic spindle elongation","positive regulation of mitotic cell cycle spindle assembly checkpoint","regulation of attachment of mitotic spindle microtubules to kinetochore","attachment of mitotic spindle microtubules to kinetochore","cytoplasmic translation","ribosomal small subunit biogenesis","ribosome assembly","ribosomal large subunit biogenesis","translational elongation","stress response to copper ion","negative regulation of stress-activated protein kinase signaling cascade","protein refolding","stress response to metal ion","label"
"Sample26",0,0,0,0,-0.497105345791528,-0.20558468115352,-0.20558468115352,-0.244022922469854,-0.195151529193108,-0.321017463449567,0.467816648698973,0.18706063326114,0.0278150595606255,-0.0228376348864809,0.397878044100177,-0.329255873029068,-0.13669349981792,-0.187818893144371,-0.329255873029068,0
"Sample27",0,0,0,0,-0.474713743455817,-0.224926592156533,-0.224926592156533,-0.248153102794206,-0.225068222203904,-0.31659051210126,0.449679870221307,0.28198751799541,0.125847885955316,0.0986943467635601,0.281523911601157,-0.295222363268996,-0.143685932137132,-0.145095551044848,-0.295222363268996,1
"Sample28",0,0,0,0,-0.333603394839922,-0.292896407317602,-0.292896407317602,-0.372245239123742,-0.355990629575948,-0.378393473667284,0.427692696786386,0.188896081804497,0.0396472025966183,0.15618910176677,0.450550228437086,-0.33788061599164,-0.298198035212834,-0.0304955373394319,-0.33788061599164,1
"Sample29",0,0,0,0,-0.415162865422856,-0.272860775799465,-0.272860775799465,-0.330104741155729,-0.294700011004811,-0.325199041497214,0.462435237546091,0.313062405014736,0.119986922977835,0.168129320220013,0.235510295457403,-0.201700440990864,-0.33735450830603,-0.206040617356697,-0.201700440990864,1
"Sample30",0,0,0,0,-0.418071607086301,-0.302315315314246,-0.302315315314246,-0.327190071293871,-0.337936128157429,-0.374363308277871,0.485344752920746,0.230427601071288,0.0269482391774863,0.0664837016366309,0.319451555175221,-0.227195715765378,-0.293011098746051,-0.172247710199371,-0.227195715765378,1
"Sample31",0,0,0,0,-0.476775323013894,-0.180739610259003,-0.180739610259003,-0.315109941684335,-0.283427073490965,-0.302383158448278,0.403529314170833,0.251077991498753,0.132963009791496,0.109950321506939,0.305195601054514,-0.360699509661299,-0.281604302887475,0.0471577817868844,-0.360699509661299,1
"Sample32",0,0,0,0,-0.374026234029413,-0.256334040420268,-0.256334040420268,-0.309426755294814,-0.261607535732827,-0.266299771711169,0.446495416282987,0.199164779918743,0.0293333131639757,0.155165651292749,0.389257686834662,-0.3326899002372,-0.249841602196436,-0.237502795463262,-0.3326899002372,1
"Sample33",0,0,0,0,-0.340186902977102,-0.323894421470001,-0.323894421470001,-0.365998046422867,-0.352126486976449,-0.386484038358133,0.467739443049967,0.283342583943526,-0.00258216179740708,0.0426576036571931,0.309064128549953,-0.153129057193241,-0.340015632688167,-0.138706863354714,-0.153129057193241,1
"Sample34",0,0,0,0,-0.275273542963708,-0.350139678057532,-0.350139678057532,-0.35358949809377,-0.3485343078755,-0.415831979209954,0.474085242325793,0.321395826379981,0.113924349254,0.0503625236594767,0.271713689150007,-0.0926117067506307,-0.296671400996796,-0.166104188568523,-0.0926117067506307,0
"Sample35",0,0,0,0,-0.472403799235321,-0.17340324422105,-0.17340324422105,-0.208142828456464,-0.191110843428405,-0.304362492039816,0.486693907864289,0.240545686323306,0.112606890791174,-0.0079690663360852,0.296429915118286,-0.301076749803918,-0.096173838494708,-0.319848388320685,-0.301076749803918,0
"Sample36",0,0,0,0,-0.415162865422856,-0.308057132332618,-0.308057132332618,-0.354443749893905,-0.341721428182975,-0.419093348218124,0.4486064918873,0.283973186032432,0.0917171250049733,0.102291296546706,0.329327983201662,-0.193045475645963,-0.245532380745885,-0.00254983217192924,-0.193045475645963,0
"Sample37",0,0,0,0,-0.45880745082868,-0.178360066179793,-0.178360066179793,-0.250127247085484,-0.221759475366512,-0.331495903382989,0.484463158346847,0.239858327682634,0.0986224717827419,-0.0692662959027518,0.320667716932085,-0.256014620376648,-0.17108857033702,-0.249090758357792,-0.256014620376648,0
"Sample38",0,0,0,0,-0.479397651671011,-0.271919894830567,-0.271919894830567,-0.286010246433809,-0.290307841437104,-0.321870225464491,0.464919235811776,0.359823483815912,0.13619169105089,0.116412998855602,0.29169615161163,-0.159684897078895,-0.238493703396014,-0.213425810381413,-0.159684897078895,0
"Sample39",0,0,0,0,-0.45930515395203,-0.259915563942623,-0.259915563942623,-0.282444001322666,-0.222324731087618,-0.325679206659895,0.46058913147448,0.310487858258439,0.119007052381251,0.0246266148421447,0.365232392917188,-0.29915145026633,-0.208841968085071,-0.114536054086858,-0.29915145026633,0
"Sample40",0,0,0,0,-0.491051896680698,-0.161986631518059,-0.161986631518059,-0.170163200403445,-0.155406581070356,-0.286486208368411,0.461315013625071,0.236774444602286,0.140634077015813,0.0910892172553431,0.221948611373377,-0.0900302255480099,-0.144473111930292,-0.407821004923555,-0.0900302255480099,0
"Sample41",0,0,0,0,-0.489052300658925,-0.238700070769377,-0.238700070769377,-0.245542569725877,-0.230148940346799,-0.296158928529496,0.468407808686567,0.34405355543901,0.154849133560603,0.122967361887134,0.242135352507309,-0.204434514520732,-0.211744575043608,-0.340017580541565,-0.204434514520732,0
